imdbId,tvdbId,tmdbId
tt5983248,374410,392080
tt0367682,,326055
tt0227326,,448466
tt2082192,,1324148
tt4421754,179147,365932
tt0459917,,1500519
tt3147290,38310,238469
tt0014360,,945865
tt0112484,88479,246702
tt0311872,,1231962
tt8897710,315703,504702
tt7882180,190164,321082
tt0888700,163654,226412
tt5053580,,477021
tt9299300,,1405344
tt0190354,116988,48143
tt31546957,,1026480
tt15382554,,1026480
tt2018130,41936,86328
tt17279532,,1046025
tt0290709,,195139
tt0000075,41917,104466
tt0251488,90359,25639
tt0017405,54906,50904
tt0223341,57764,147554
tt0028146,119434,130386
tt0066959,56035,185399
tt0020678,45873,48562
tt0000938,50503,163233
tt0056300,43317,53218
tt0004282,35843,53387
tt0050725,63358,104144
tt0028624,99468,105743
tt0225662,,107269
tt2095646,,130627
tt0208320,,240321
tt0228724,104437,196073
tt0000384,,119982
tt0025190,49568,51373
tt0419580,,1307283
tt1389333,,985614
tt0029684,59840,130503
tt0002282,223659,491948
tt0006966,,767402
tt0817204,,941861
tt0449092,31927,91908
tt0005864,215434,95160
tt1970027,,1011097
tt1368151,12113,16604
tt0052987,44364,104141
tt0249600,118954,139589
tt0238059,126436,19444
tt0159423,81944,103488
tt0444673,46790,13431
tt0066178,231271,243346
tt0040673,228755,240455
tt2149702,83737,162547
tt0094864,233646,244703
tt0074482,,243591
tt29133846,,192292
tt0242988,,967945
tt0109766,126577,249077
tt0355600,65085,147819
tt0325638,59913,162657
tt0336732,,1233001
tt0177805,,950700
tt0388350,,1443101
tt0127948,79358,49271
tt0159025,,273297
tt2360048,218184,150804
tt2219208,,286994
tt0419551,,1123921
tt0003355,223718,406419
tt0005414,,132446
tt0196154,172471,407246
tt0196206,,1311299
tt0330647,,1031440
tt3691638,,453232
tt3326262,46133,254273
tt0335363,161984,162394
tt4968812,,892390
tt0229333,,942361
tt0773111,,937391
tt2369331,104469,170632
tt2141747,,1735909
tt1645938,,724600
tt0201108,,764376
tt3215172,,985235
tt0492217,,963072
tt0002057,,936672
tt0182912,102457,127992
tt0074966,,243583
tt9265086,,1248439
tt3178550,70743,220806
tt1821497,63823,232942
tt0222938,,196402
tt11962160,157689,762632
tt0764269,215222,89168
tt0274895,250989,476109
tt13249520,,931310
tt0058463,,488590
tt13362258,,880531
tt12689628,,1035475
tt1268937,212374,49174
tt2474276,,469927
tt28856666,,1171606
tt3682070,,436404
tt0206307,210193,258249
tt0223122,,1239612
tt6239988,287265,443312
tt0224230,,851941
tt32055801,,1219596
tt31491120,,1253462
tt0280994,218766,162630
tt0373193,144093,135800
tt1295084,269533,240825
tt30495767,,1327628
tt39746699,,1481875
tt24853216,,1132471
tt33349109,,1531143
tt0013486,19511,53429
tt0239206,208441,2751
tt0438575,74620,31073
tt1480648,105671,57458
tt0088725,65790,128956
tt0352875,54767,38845
tt0050714,37117,35847
tt0115817,177014,220836
tt0086000,193597,323863
tt0102392,96027,47207
tt0432762,46348,115955
tt0004284,30081,22936
tt0064064,17842,3171
tt0215685,22473,39005
tt0218871,16378,1568
tt0023578,25617,50907
tt0059631,68157,32323
tt0008874,44765,45838
tt0228397,101423,108285
tt0227420,100852,106031
tt0048363,77506,84820
tt0016359,51086,253725
tt0161034,142976,257524
tt0278123,,193851
tt1174943,,449384
tt1603847,211759,44303
tt0061766,75332,19001
tt0822815,,901340
tt0009256,212936,53636
tt0434157,,284959
tt0282029,197026,99163
tt0018396,48451,263895
tt0057508,,5649
tt0143185,237526,623920
tt0434628,,937413
tt0332445,,578592
tt1753423,122651,189409
tt0035634,,236874
tt0022724,52683,101809
tt0403900,,351654
tt0014081,219515,175730
tt0321780,34299,23984
tt0005910,34491,52276
tt0254416,,939607
tt1199631,178191,28556
tt0003302,223714,266595
tt0192560,242006,623877
tt0022387,81889,81108
tt0375863,,946766
tt0006150,219400,174138
tt0235014,220383,189583
tt1234259,106357,197754
tt0140356,96245,104840
tt1240407,,934038
tt1029161,71244,55825
tt1265707,,918520
tt0072370,,243394
tt2731896,,595690
tt0141156,,944964
tt0419174,113062,85815
tt2211602,38497,176533
tt1037996,121023,176788
tt0043497,,1231524
tt0038825,,240420
tt0222386,,1280376
tt0224603,,941319
tt0002064,196268,406587
tt0399748,267983,418142
tt3071532,76246,220809
tt3343116,,265775
tt0956169,,901133
tt0003232,,139247
tt0900980,,1139358
tt1975105,115460,143356
tt0277236,,174673
tt0079656,232483,244352
tt5707090,,850450
tt0235368,,698880
tt5574316,,466024
tt0113084,,371397
tt1485050,185301,68503
tt10384208,135994,597121
tt7029538,221475,204710
tt10110058,,883168
tt1440150,78176,189111
tt1422704,200235,183935
tt7275708,,681300
tt15788214,356422,893650
tt0002206,220747,193859
tt0148384,237868,447297
tt21228706,,940822
tt0112329,234921,253593
tt0244705,,47037
tt26446979,,1081988
tt0426009,261163,293431
tt26424745,,1076587
tt26218316,353360,1085779
tt3585422,200793,412585
tt0020152,220467,190342
tt29045676,367583,1170463
tt0020530,5334,626
tt1964446,127340,91516
tt0023669,55806,156412
tt0015673,99297,51892
tt0000575,71150,114136
tt0007880,17470,47650
tt0014694,29506,107011
tt0309402,74851,155107
tt0022630,34397,44891
tt0049095,103123,49701
tt0002143,,130523
tt0007162,17054,2078
tt0336693,34550,44065
tt0972356,70450,30329
tt0034666,217237,131801
tt0105311,36481,48581
tt1323941,30649,46343
tt0068793,104611,243363
tt0041618,87563,103983
tt0203853,69746,186019
tt1047855,,204183
tt0021521,226337,342057
tt0306714,27940,104391
tt0252424,,1118724
tt0227419,,106815
tt0168118,,204017
tt0060909,103344,129970
tt0376821,80401,43681
tt0076857,88314,117488
tt0143000,109194,107296
tt0018356,64406,50902
tt12324866,273784,305667
tt0007764,49596,53671
tt0010072,55946,174992
tt0200702,,762304
tt0006965,212955,53730
tt0851542,,937184
tt0002523,53419,193857
tt0467051,,918532
tt0159144,46497,48446
tt0000151,,415825
tt1362562,208875,404143
tt0233295,220425,189929
tt0000167,,201406
tt1509637,116514,81233
tt0276587,,456978
tt0032549,124067,32282
tt0195141,122385,54736
tt1504691,58179,66178
tt0262711,100909,20183
tt0387522,326242,107534
tt0021275,154629,144788
tt0431405,75038,49777
tt2355198,86236,391521
tt1816684,284826,436207
tt0378863,,939223
tt0226648,68670,15564
tt0342298,,347930
tt1488143,,950535
tt0492201,,917330
tt0006125,,918573
tt0001185,,297446
tt1999864,,415556
tt0209930,,3174
tt0222242,,403265
tt0425844,,941774
tt0378387,258545,389493
tt0213405,,585945
tt0004922,,903083
tt3687190,,325145
tt0797911,,941850
tt0224366,,1012019
tt0055853,230336,243227
tt0044841,46221,54200
tt0124042,,160376
tt5902194,,1440500
tt5441356,323076,443213
tt0417971,260778,432914
tt0356841,,345040
tt2456504,301542,560010
tt0490651,,937188
tt0232547,220477,190697
tt1056424,279284,366260
tt3725874,281933,400046
tt0045728,90283,145990
tt2487318,,666638
tt4851724,190521,393565
tt7030372,,486197
tt0152606,,51385
tt0065114,,346962
tt9253666,301921,563758
tt0233726,,298495
tt0241160,,1200037
tt0153712,124803,208111
tt0029407,227353,252020
tt0094855,233645,393374
tt0225779,,1087718
tt29361805,350904,1186227
tt0290293,189036,271469
tt29953899,,1252538
tt0000439,8491,5698
tt0289477,14763,9677
tt0296874,,48488
tt0345176,209531,6200
tt0052338,45917,45948
tt0028445,16019,43878
tt0018573,54907,50919
tt1278345,,12418
tt1352717,24510,45485
tt0223130,77276,194604
tt0071484,200889,209536
tt1672087,21607,40170
tt0011223,69254,53523
tt0032000,,235660
tt1520428,54864,47798
tt0138758,65434,105552
tt0006349,104017,171817
tt0372134,,1125086
tt0035733,21466,64648
tt0024824,49569,51374
tt0000313,34584,179235
tt0048575,117366,202102
tt0227438,81786,106814
tt1414836,220626,192340
tt0203646,111842,159905
tt0031667,47030,53592
tt1985183,357196,418763
tt0209401,,957547
tt0224066,49583,53621
tt1059895,282674,410111
tt0044958,46698,51406
tt0009389,38837,51470
tt0060383,153853,18953
tt0012202,224692,335456
tt0006987,212957,53735
tt0360984,,420086
tt0000534,46480,132379
tt0339976,69957,118658
tt0454320,,410710
tt0270257,250554,367372
tt0058260,155089,243268
tt0221997,,958472
tt0006764,53261,174601
tt0000048,,212329
tt0049124,229646,243035
tt0082335,68908,59356
tt1400509,97372,93082
tt0005371,,946380
tt0014097,219522,175759
tt0063504,231050,243325
tt0046420,,243013
tt1531704,50114,106414
tt1601238,212652,51408
tt0830211,50586,174473
tt1303225,,352578
tt0778023,,1033609
tt2368875,,224850
tt0337874,,854945
tt0374941,,932775
tt0241570,,936311
tt3037314,322495,253818
tt1293749,,938694
tt0004067,,942595
tt0392860,,933153
tt3331512,9268,236028
tt0227995,161845,85302
tt0258465,154945,5897
tt0488003,,207350
tt0427075,,947747
tt0221973,,981404
tt0800966,102079,49484
tt0423907,,1479171
tt2404452,,1172787
tt0217725,244523,550308
tt0314719,101405,147598
tt1045003,,1193949
tt0287156,,361030
tt0007466,,901445
tt0201298,,764780
tt0143214,,623921
tt0923798,102685,147975
tt0041892,103869,150500
tt0033091,212926,53597
tt5885588,,425647
tt5474812,282502,407857
tt5526546,281006,388706
tt0120129,195433,467261
tt6450752,11836,459159
tt0111933,212801,52457
tt6004148,118061,442720
tt0183386,,1203969
tt13120626,,768799
tt0432568,,985806
tt1665963,,175463
tt0225240,245133,319282
tt0203302,,257561
tt0228941,,1252716
tt0124601,100432,179453
tt0446307,161251,73450
tt21405632,,1028831
tt0940644,348401,20180
tt0298737,67954,43658
tt0141858,182279,244919
tt0023858,13778,42299
tt0106694,322880,244864
tt0005812,32514,53412
tt0065894,46729,183859
tt0033788,163752,236814
tt0063664,193304,341315
tt0222843,,404864
tt0208753,,401036
tt0003892,,904492
tt0288006,71270,51887
tt0208241,201010,475711
tt0002289,,936663
tt0027444,47029,53586
tt0022807,38745,52279
tt0228219,359720,196401
tt0769542,79548,71580
tt0009973,80875,53515
tt0147859,204323,406548
tt1138093,214957,83131
tt0006983,212959,53740
tt0040641,88161,159222
tt0461037,157934,619279
tt0009499,212938,53643
tt0014438,219520,175757
tt0003911,,918513
tt0234148,,941947
tt0358726,,674452
tt0001951,,1690596
tt0313905,,1119475
tt1258131,199952,202705
tt0375744,160423,296850
tt0005676,47850,174209
tt0102430,234159,244738
tt1809348,280978,388267
tt0218949,,991903
tt1754654,321315,74184
tt0006035,,946375
tt0222431,,960604
tt0796238,99654,86527
tt2522200,,449868
tt2093047,86780,210065
tt0003797,,933905
tt0433256,,933639
tt1904845,81731,103637
tt0003718,,933688
tt0419609,,934057
tt0001169,,928475
tt1179866,,917700
tt0219154,,918163
tt0001047,,928197
tt3214836,197695,232632
tt3237278,,548644
tt0285265,106177,193411
tt0348730,256584,420080
tt0367152,,982311
tt0226517,,946465
tt0005898,,919706
tt0165097,108223,40447
tt0002693,,787292
tt1809235,285228,441662
tt3769154,168588,388647
tt0289045,71630,83909
tt2308497,,941681
tt0003865,,942582
tt0004327,,904348
tt3755494,,772292
tt5162276,101882,362000
tt0899087,,985669
tt0170834,125288,293908
tt0003926,,1007654
tt4860694,,380540
tt5083802,,884990
tt2011118,2580,76122
tt5465728,63260,380592
tt4249704,183405,494338
tt0124148,41140,104378
tt0034937,,514520
tt0269911,,950399
tt3464276,,998720
tt1559825,23292,148607
tt2151751,117432,426905
tt12442892,,789151
tt0067737,231403,243994
tt14125024,,880524
tt13276402,,811110
tt7457336,293963,491696
tt2476176,359427,469928
tt0216414,126384,419310
tt6920802,,337600
tt0848418,,885400
tt1284630,279001,362908
tt0333211,,851967
tt2597228,273277,301291
tt30887248,,1233395
tt0350692,104895,106249
tt27663735,,1087577
tt5321700,279174,364876
tt0000417,3066,775
tt0105224,161583,116152
tt0104285,30494,60316
tt0004395,57655,22941
tt0017836,31245,50897
tt0234914,117359,196512
tt0020708,29915,50828
tt0285225,58066,431230
tt0004210,68105,22892
tt0432109,62725,251153
tt0018860,74255,50898
tt0427617,212115,47054
tt0082922,,998156
tt0060834,,243294
tt0478988,133637,20981
tt0001083,53751,249817
tt0350698,103302,119968
tt0017664,37197,50859
tt0225797,,196592
tt0014419,102794,168194
tt0031953,47580,130204
tt0209518,,282382
tt1542599,14917,24884
tt0005198,55655,133213
tt0267049,110640,263860
tt0009144,53599,224205
tt0008212,49598,53725
tt0248291,125157,190763
tt0078198,61564,48697
tt0001789,145055,190883
tt0003455,,932826
tt0064334,95051,79838
tt0271391,,233633
tt0377941,,939150
tt0062131,195853,243307
tt2167404,41220,114411
tt0013853,,175743
tt0163982,36514,32531
tt0326546,212247,48262
tt0242463,58374,111388
tt0325455,83320,151022
tt0328923,,1273903
tt0047114,42785,43337
tt0368898,257990,589106
tt0070561,187520,243380
tt0297426,81586,109377
tt0290869,181829,339088
tt0045200,58189,151161
tt0061181,162806,88264
tt1279185,109205,145059
tt0047578,,243020
tt0020281,226150,443667
tt0283326,75769,78274
tt3102278,279938,377105
tt0434076,,935962
tt0236009,127737,18452
tt0006102,209431,904
tt0306424,109525,210123
tt0241282,117903,186021
tt0449307,,172135
tt2489700,270047,252899
tt0009558,55940,174904
tt2972520,109840,249709
tt1729511,,146695
tt1937091,,146695
tt0342643,,939047
tt0258254,195980,331580
tt0013489,224893,445085
tt0235045,,44325
tt0466721,,1273028
tt3985632,273374,302269
tt0006546,,901432
tt0404730,,1250562
tt0007390,,901148
tt0145698,,941776
tt0150294,,1275682
tt0455012,262679,233255
tt0477332,85518,174125
tt0056946,51039,243239
tt0022837,83735,124862
tt5849380,,766630
tt0210397,199919,306259
tt1543484,,845511
tt1509106,,291815
tt11884472,,886982
tt0373260,258229,328054
tt0222336,103270,212185
tt15829632,,877183
tt0423805,,44301
tt0421722,,44286
tt1344348,32691,252739
tt0314689,,1114605
tt0242142,,1150983
tt0261220,87866,16865
tt0023947,,161849
tt27385597,,1116575
tt0934790,,329070
tt6270586,285208,441230
tt0234874,247247,252626
tt0168147,321211,355510
tt0000272,36332,154171
tt0004212,55709,138920
tt0000663,206605,382978
tt0338768,62034,51939
tt2078661,271231,275201
tt0094363,,244690
tt0347840,,44351
tt0034906,100922,236852
tt0134127,200311,147391
tt0001014,56111,194046
tt0064493,58794,42606
tt0344503,220798,194819
tt0955271,110516,118796
tt0001481,,400571
tt0425756,,162443
tt0367672,176745,68374
tt0012347,145136,107290
tt0000644,,372737
tt0226083,,106038
tt0223947,90355,195960
tt0224286,,122036
tt0276962,220486,190802
tt0085448,57443,126597
tt0311119,,980038
tt1029374,76334,161554
tt0458472,104236,239552
tt0338127,,940936
tt0063833,,19009
tt0069379,231543,243371
tt0224131,,161245
tt0038379,34878,240406
tt0002234,,1201731
tt1870326,151936,164337
tt0133794,165037,210828
tt0968278,,1098484
tt0311676,,72220
tt0254399,,939948
tt0123970,40109,32535
tt0234140,247157,343370
tt0003093,,939131
tt0120193,,54818
tt0221991,,959540
tt1612590,82138,184342
tt0035549,82405,116063
tt0000613,,206738
tt0272170,164844,1722182
tt0003707,,929862
tt0372159,,928474
tt2619818,,1023700
tt0001034,,928070
tt0050403,229778,243162
tt2006762,,240162
tt1998355,74822,200942
tt0218926,,1151107
tt2088025,,123602
tt0148447,,424010
tt1534544,,947331
tt0002080,,397336
tt0002196,,419906
tt0126815,80790,159075
tt0165297,71105,36228
tt0477380,,196567
tt0364409,,192304
tt0255557,,728378
tt0477694,,1479193
tt0021745,,162620
tt0285587,94608,254888
tt0369284,,16824
tt0371950,,1598359
tt0416533,,1401166
tt1894578,,348579
tt21405788,,1693574
tt5311162,310887,643034
tt6065378,,1079058
tt0174762,195814,189957
tt2204694,327861,212200
tt10214916,148437,596280
tt1152712,144795,69915
tt0380487,258700,450051
tt2088813,,118693
tt8822398,,542434
tt3090880,161057,218026
tt0045673,33768,1564
tt0800225,,49149
tt3410358,,845320
tt14404400,,896814
tt0135785,,192016
tt0140595,,232963
tt28912758,350079,1172675
tt27759823,353317,1194636
tt0224663,,1207111
tt0473388,,467419
tt0226604,,1150671
tt0211319,127096,48265
tt0313910,210352,256011
tt27163835,,1140202
tt0249592,220431,189969
tt31033834,353569,1138405
tt0019771,,979442
tt0275588,251062,515611
tt0108056,71282,162503
tt0289073,,244976
tt0000001,37246,16612
tt0813999,34049,45887
tt0037468,47403,101586
tt0096010,75091,162771
tt0118837,,1020886
tt0025260,50961,233662
tt0034498,58802,56143
tt0000359,20444,49279
tt1711488,273788,305680
tt1177157,209625,15065
tt0081101,,1234877
tt0057230,109026,48599
tt0014661,,311685
