imdbId,tvdbId,tmdbId,tvmazeId
tt0080364,,18952,
tt14216680,413627,154341,63155
tt0078839,,317173,
tt0100004,,31004,
tt1521050,,328820,
tt0096433,,47572,
tt2130271,333938,98557,4371
tt0314226,84717,89846,
tt1210018,125141,77038,
tt0165645,152981,42205,
tt0495641,,318741,
tt0809488,,39651,
tt0118933,,49027,57895
tt1341047,152321,74228,
tt0893548,,89111,87866
tt0104350,,71752,28242
tt0060329,189581,101393,
tt0091174,,72621,
tt1750159,251574,132535,
tt0260595,285432,91358,
tt1320320,87771,75179,11542
tt1461312,123411,33466,1024
tt0118392,,105264,
tt0272268,,318694,
tt0088635,191011,65484,28955
tt0404587,272505,236105,
tt1602135,197461,65231,
tt1118040,,59945,
tt0095225,,47533,
tt0335187,,99703,
tt0371854,267330,61131,
tt0845648,369077,77388,44762
tt0090522,264995,21627,50670
tt1726409,196081,100071,48059
tt0084919,272215,9126,49750
tt0112374,,48677,
tt0167702,398347,96182,88921
tt0078173,,49717,
tt2070379,267567,52227,1642
tt1611715,273527,105255,44344
tt1773188,,77970,25337
tt0448424,,86669,
tt1523389,124391,66447,7114
tt0211559,327494,73648,
tt1331063,,96464,
tt0077067,273763,75695,
tt0370987,,115294,
tt0158423,194651,72623,
tt0103171,273968,47677,
tt0094611,,124632,
tt0473571,198901,43259,
tt0097041,,59694,
tt0178361,,40021,
tt0094952,,47519,
tt0186948,,31031,
tt1264363,140561,31768,23242
tt0248803,,43497,
tt2358586,270134,75673,10446
tt0282040,,47016,
tt0093862,,48730,
tt0892743,201241,330295,
tt0102962,189831,47357,
tt0247896,266808,75712,57581
tt0283181,83706,8943,26909
tt0189593,252852,213946,
tt0103471,226981,43477,51145
tt1991897,255053,43750,23349
tt0076841,,34122,
tt0096460,,47235,
tt0101029,303768,74148,
tt0119795,,47616,
tt1508372,280505,74229,
tt0076981,289586,40163,30222
tt0439404,294753,25120,
tt0163460,235841,60583,
tt0091397,,124863,
tt0163505,190911,76273,
tt0449030,,48391,
tt0080993,,250660,
tt3119350,309403,88723,
tt2315850,267660,56242,5746
tt3068894,287695,61689,650
tt0488057,,17241,
tt0068644,,39770,
tt0384747,472195,324296,
tt4863504,309039,71594,14516
tt0196256,343386,101826,91294
tt0181216,352030,81891,
tt1358383,84007,28209,7368
tt5940506,327231,71424,
tt0083198,,49130,
tt6638962,336278,77375,49209
tt9008358,353044,82187,49646
tt0077725,,318718,
tt10042074,363084,88959,47875
tt1521183,364384,90233,
tt0101079,,106506,
tt0062689,,61999,46686
tt0103366,365686,90466,
tt0069624,254223,283032,
tt18289696,416980,158174,
tt16170154,411781,137587,
tt0259893,,43508,
tt0102212,,47538,
tt1020991,,58979,
tt36599902,462772,289353,
tt0461708,296707,29479,
tt0057982,,13473,
tt0094791,80540,25397,18557
tt0092316,84073,9115,8130
tt0175396,411559,77223,58398
tt0377972,,46946,
tt0092659,285398,47236,
tt0163960,253944,77080,65799
tt0475800,,72081,
tt1688640,281103,227444,
tt1306958,,57399,
tt0097454,351075,91359,
tt0287846,,17716,
tt0098788,360855,214514,
tt1911663,,43732,
tt2079826,253233,81781,
tt0377804,,8826,
tt0780362,79582,13851,2359
tt0286989,,105226,
tt1219817,166091,7171,3888
tt0053501,253950,229920,
tt0097553,304934,76558,28614
tt0158466,,5875,
tt2094220,253534,68558,28947
tt1298818,275207,75843,
tt0101577,85483,16623,37935
tt0377158,322051,246743,
tt0088693,368034,42553,37959
tt0111940,,130564,
tt0083855,,17158,
tt0360284,380529,118664,47300
tt0277106,343335,99891,
tt1527160,476831,72422,
tt0088536,281686,35244,24257
tt2024052,,82478,
tt0081926,281262,114265,49430
tt0075670,,49740,
tt0307827,,80536,
tt0326465,272007,117037,
tt0111353,,48698,
tt2057069,251502,250029,88106
tt2328749,,59646,
tt0362480,,7590,
tt0173558,364890,84875,
tt0158131,,49155,
tt0090802,,18133,
tt1146439,,19090,
tt0369084,,77972,29938
tt0075867,,15016,
tt0258351,,204705,
tt0080733,,19769,
tt0383175,388037,318086,50215
tt0302240,,49098,
tt0358594,,16499,
tt0374053,,50981,
tt0081190,,16170,
tt0100209,,47225,
tt0221768,,210583,78863
